RowName,Frame,Timestamp,nose_X,nose_Y,nose_Z,left_shoulder_X,left_shoulder_Y,left_shoulder_Z,right_shoulder_X,right_shoulder_Y,right_shoulder_Z,left_elbow_X,left_elbow_Y,left_elbow_Z,right_elbow_X,right_elbow_Y,right_elbow_Z,left_wrist_X,left_wrist_Y,left_wrist_Z,right_wrist_X,right_wrist_Y,right_wrist_Z,left_hip_X,left_hip_Y,left_hip_Z,right_hip_X,right_hip_Y,right_hip_Z,left_knee_X,left_knee_Y,left_knee_Z,right_knee_X,right_knee_Y,right_knee_Z,left_ankle_X,left_ankle_Y,left_ankle_Z,right_ankle_X,right_ankle_Y,right_ankle_Z
50,50,1.7241379310344827,0,0,0,55.98,-31.01,32.28,17.35,-32.13,47.96,59.14,-13.73,37.59,10.57,-16.24,85.51,56.45,-0.61,104.67,9.46,-3.72,165.79,40.64,2.34,-5.23,17.03,1.54,5.29,39.37,24.05,-52.99,8.44,22.46,-28.66,39.61,41.76,-139.61,-0.64,41.05,-103.05
51,51,1.7586206896551724,0,0,0,56.65,-31.01,28.04,18.16,-32.15,44.74,60.21,-13.73,31.13,11.78,-16.24,73.68,58.08,-0.63,95.88,10.77,-3.69,143.81,40.91,2.53,-5.71,17.42,1.54,5.78,39.19,24.02,-53.39,9.31,22.47,-29.45,38.68,41.85,-135.65,1.17,41.11,-99.62
52,52,1.793103448275862,0,0,0,56.89,-31.02,28.76,18.79,-32.17,44.39,61.53,-13.93,28.82,12.02,-16.2,70.76,59.91,-0.63,87.8,11.75,-3.6,136.88,41.26,2.58,-3.56,17.92,1.48,3.63,38.88,24.11,-45.94,10.17,22.48,-29.99,37.73,41.95,-130.21,3.04,41.11,-101.09
53,53,1.8275862068965518,0,0,0,57.3,-30.99,29.3,18.99,-32.16,42.91,62.41,-14.0,28.0,12.23,-16.16,66.12,61.48,-0.58,84.12,12.04,-3.36,132.27,41.42,2.63,-4.34,18.13,1.48,4.42,38.43,24.24,-44.73,11.41,22.5,-27.53,36.54,42.12,-127.75,4.58,41.29,-94.09
54,54,1.8620689655172413,0,0,0,57.77,-30.88,33.88,19.34,-32.16,48.82,63.12,-14.03,30.65,12.51,-16.14,68.39,63.14,-0.5,90.61,12.07,-3.36,134.77,41.85,2.53,-4.93,18.86,1.22,5.0,38.29,24.22,-43.88,12.49,22.49,-23.66,35.84,42.18,-127.54,6.4,41.53,-90.77
55,55,1.896551724137931,0,0,0,57.96,-30.85,36.51,19.3,-32.15,48.11,63.88,-14.06,31.85,12.43,-16.06,68.39,65.22,-0.41,85.54,11.57,-3.36,137.01,42.11,2.53,-4.43,19.26,1.17,4.5,38.29,24.22,-42.7,13.98,22.51,-23.78,35.35,42.23,-126.5,8.8,42.08,-90.63
56,56,1.9310344827586208,0,0,0,57.93,-30.86,35.5,19.33,-32.14,45.77,64.26,-14.13,29.18,11.9,-16.08,67.18,66.79,-0.38,80.36,10.65,-3.4,136.8,42.27,2.52,-4.51,19.45,1.15,4.59,38.15,24.22,-40.65,14.93,22.69,-19.37,34.33,42.39,-122.63,10.63,42.61,-83.42
57,57,1.9655172413793103,0,0,0,57.81,-30.94,37.85,19.52,-32.14,51.34,64.43,-14.28,30.15,11.66,-16.08,72.14,67.69,-0.33,82.58,10.35,-3.43,141.01,42.25,2.37,-5.67,19.43,1.0,5.74,37.93,23.99,-41.14,16.81,22.64,-12.08,33.48,42.45,-124.23,12.0,43.27,-71.46
58,58,2.0,0,0,0,57.77,-31.06,41.45,19.61,-32.16,51.35,64.6,-14.41,32.58,11.43,-16.12,69.52,68.04,-0.27,84.47,8.82,-3.65,138.51,42.24,2.19,-5.58,19.49,0.76,5.65,37.81,23.91,-41.34,18.16,22.65,-12.7,32.52,42.49,-125.31,13.45,43.29,-76.37
59,59,2.0344827586206895,0,0,0,57.65,-31.15,40.99,19.48,-32.17,49.2,64.59,-14.61,33.0,11.28,-16.13,62.81,68.22,-0.26,84.82,7.28,-3.68,125.33,42.29,2.02,-5.5,19.78,0.64,5.58,37.76,23.87,-43.16,19.22,22.65,-8.68,31.44,42.53,-128.85,14.85,43.24,-72.45
